id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,632676,86,282,1621,566,1378.125,581.25,1.0396610498428345,0.9834986329078674,0,0,1800,1200
1,117622,927,292,416,379,1040.625,431.25,1.0370440483093262,0.9570895433425903,0,0,1800,1200
2,731000,0,710,1799,486,140.625,843.75,1.0327399969100952,0.992745578289032,0,0,1800,1200
3,41423,445,627,230,224,590.625,731.25,1.0253678560256958,0.9819007515907288,0,0,1800,1200
4,14060,499,677,132,134,534.375,731.25,1.017277717590332,0.987203061580658,0,0,1800,1200
5,39057,1404,561,223,213,1546.875,693.75,1.0151252746582031,0.9813866019248962,0,0,1800,1200
6,23428,657,304,201,131,703.125,431.25,1.0109461545944214,0.9868945479393005,0,0,1800,1200
7,19831,1729,71,70,304,1771.875,168.75,1.0109401941299438,0.9887617826461792,0,0,1800,1200
8,13189,1460,607,125,131,1490.625,693.75,1.007731556892395,0.9899682998657227,0,0,1800,1200
9,51419,219,0,175,301,309.375,168.75,1.0055817365646362,0.9903318285942078,0,0,1800,1200
